text,label
My dezire kl 07 cm 8766 Jijo pp My new vehicle always complaint serviced 3 times repeating complain again &again  Now have 4 service 2 weeks over no responce showroom can't 2 clear my vehicle Vehicle only 1.5year old under warrenty So i don't want your vehicle You take ur vehicle otherwise gave a new oneVehicle at popular service center mamangalam kochi ,issue not resolved
I bought a new gixxer sf 150cc (Black) on june 2019.,other
Because i heard you deliver the bikes with best performance and amazing features.,other
"But unfortunately, after my first service through (Gem suzuki, survey no 64, miyapur road, kondapur, hyderabad - 500084), i met with an accident.",other
"I contacted to my bike dealer (Manya suzuki, pitambarlok, himayatnagar main road, himayat nagar, hyderabad - 500029) as i had an accident how should i process it for an insuance and repairment.",other
Then the problem was discussed with the respective service manager of manaya suzuki and he didn't gave me proper info how to raise a claim request to start the process.,service center issue
"After a day in bad condition of accident, i gave my bike to the service center (Gem suzuki, survey no 64, miyapur road, kondapur, hyderabad - 500084) for repair on 28th july 2019 and still up-to today (2nd sep 2019) not received my bike back as they are not doing their work as expected.",issue not resolved
"Its a new model and i am not getting that, for new bike they took one month and still telling me that they didn't received the parts from gurgaon factory.",other
"Gem suzuki service center, kondapur service manager (Vijender reddy) deal with me very rudely on the first day when i asked him how much time it will take to repair, after that at last he told me it will take 28 days.",service center issue
I was shocked for repairing a new bike from the authorized service center they need almost a month.,service center issue
"I agreed on it and when i asked after 28 days if my bike is ready, then they gave me an excuse we didn't receive all the required parts, he is telling me this info on the day when i was asking him, didn't he had this info prior?",other
"I inquired why you didn't updated me prior that which parts are not yet dispatched from the factory, he started arguing with me like i am begging to him.",service center issue
"Leave, after that he told me he will arrange parts and bike will be ready within 2 days.",other
"But when i visited to service center after 2 days, they even didn't started the work, and even not confirmed by themselves what other parts may be required after opening a vehicle.",service center issue
the bents was there in the new car,manufacture defective
He starts shouting on me that i don't know the process and all and still by today parts aren't arranged by him.,service center issue
I am struggling for the thing which i bought from my saved money with a great hope and service center people dealing with the customer in this manner.,other
"Person met with an accident, and they are not having a sense how to deal with the customer.",other
